country,month,value
Jamaica,2011-11-01,0.2657962
Kenya,2011-11-01,34.6565083
Laos,2011-11-01,22.0373459
Liberia,2011-11-01,3.1725194
Madagascar,2011-11-01,9.4800527
Malawi,2011-11-01,2.3836361
Mexico,2011-11-01,172.1553741
Nepal,2011-11-01,0.4734931
Nicaragua,2011-11-01,25.1286568
Nigeria,2011-11-01,4.6680216
Panama,2011-11-01,0.9123883
Papua New Guinea,2011-11-01,113.1629991
Paraguay,2011-11-01,0.0030785
Peru,2011-11-01,549.212019
Philippines,2011-11-01,0.1414422
Rwanda,2011-11-01,24.8305565
Sierra Leone,2011-11-01,6.897876
Sri Lanka,2011-11-01,0.229823
Tanzania,2011-11-01,52.891
Thailand,2011-11-01,18.66564
Timor-Leste,2011-11-01,1.3393373
Togo,2011-11-01,2.3361167
Trinidad & Tobago,2011-11-01,0.0243669
Uganda,2011-11-01,227.177
Venezuela,2011-11-01,0.038474
Vietnam,2011-11-01,1184.958027
Yemen,2011-11-01,3.2335685
Zambia,2011-11-01,0.4
Zimbabwe,2011-11-01,0.5306547
Angola,2011-12-01,0.3
Benin,2011-12-01,0
Bolivia,2011-12-01,13.6097167
Brazil,2011-12-01,3032.488437
Burundi,2011-12-01,23.782
Cameroon,2011-12-01,3.9
Central African Republic,2011-12-01,0
Colombia,2011-12-01,857.0776292
"Congo, DR",2011-12-01,9.9182667
Congo,2011-12-01,0
Costa Rica,2011-12-01,78.1894314
Cote d'Ivoire,2011-12-01,52.0620833
Cuba,2011-12-01,2.7
Dominican Republic,2011-12-01,5.1008615
Ecuador,2011-12-01,162.3033283
El Salvador,2011-12-01,81.9294452
Equatorial Guinea,2011-12-01,0
Ethiopia,2011-12-01,94.2
Gabon,2011-12-01,0
Ghana,2011-12-01,0.7335333
Guatemala,2011-12-01,178.3982266
Guinea,2011-12-01,29.0880106
Guyana,2011-12-01,0.04919
Haiti,2011-12-01,0.0977763
Honduras,2011-12-01,363.9374257
India,2011-12-01,323.2174969
Indonesia,2011-12-01,469.2825938
Jamaica,2011-12-01,0.8039759
Kenya,2011-12-01,32.8080333
Laos,2011-12-01,15.8869959
Liberia,2011-12-01,0.3257694
Madagascar,2011-12-01,12.310297
Malawi,2011-12-01,2.6305527
Mexico,2011-12-01,164.5059831
Nepal,2011-12-01,0.2139097
Nicaragua,2011-12-01,55.4220476
Nigeria,2011-12-01,0.6150216
Panama,2011-12-01,1.2221371
Papua New Guinea,2011-12-01,136.0166
Paraguay,2011-12-01,0.0015619
Peru,2011-12-01,701.68886
Philippines,2011-12-01,0.7773133
Rwanda,2011-12-01,35.5686055
Sierra Leone,2011-12-01,7.2927593
Sri Lanka,2011-12-01,0.1831707
Tanzania,2011-12-01,82.60695
Thailand,2011-12-01,10.9442807
Timor-Leste,2011-12-01,1.6285846
Togo,2011-12-01,0.8764
Trinidad & Tobago,2011-12-01,0.0243669
Uganda,2011-12-01,242.301
Venezuela,2011-12-01,0.0433132
Vietnam,2011-12-01,1788.721455
Yemen,2011-12-01,2.7479019
Zambia,2011-12-01,2
Zimbabwe,2011-12-01,0.533988
Angola,2012-01-01,1.14
Benin,2012-01-01,0
Bolivia,2012-01-01,8.063
Brazil,2012-01-01,2146.540221
Burundi,2012-01-01,14.887
Cameroon,2012-01-01,4.7
Central African Republic,2012-01-01,0
Colombia,2012-01-01,541.6745261
"Congo, DR",2012-01-01,8.6409333
Congo,2012-01-01,0
Costa Rica,2012-01-01,126.0379812
Cote d'Ivoire,2012-01-01,34.6351167
Cuba,2012-01-01,0.3
Dominican Republic,2012-01-01,8.4704278
Ecuador,2012-01-01,97.6439838
El Salvador,2012-01-01,130.7068937
Equatorial Guinea,2012-01-01,0
Ethiopia,2012-01-01,99.8983333
Gabon,2012-01-01,0
Ghana,2012-01-01,0.86995
Guatemala,2012-01-01,244.102848
Guinea,2012-01-01,31.7784918
Guyana,2012-01-01,0.1481433
Haiti,2012-01-01,0.6405817
Honduras,2012-01-01,504.7451967
India,2012-01-01,306.4124123
Indonesia,2012-01-01,638.2306961
Jamaica,2012-01-01,0.1867361
Kenya,2012-01-01,34.79695
Laos,2012-01-01,26.9114032
Liberia,2012-01-01,0
Madagascar,2012-01-01,7.3459959
Malawi,2012-01-01,2.136027
Mexico,2012-01-01,234.3135305
Nepal,2012-01-01,0.0892492
Nicaragua,2012-01-01,113.2281513
Nigeria,2012-01-01,0.2250115
Panama,2012-01-01,2.5997179
Papua New Guinea,2012-01-01,121.7706267
Paraguay,2012-01-01,0
Peru,2012-01-01,284.765475
Philippines,2012-01-01,0
Rwanda,2012-01-01,17.7580664
Sierra Leone,2012-01-01,5.6908686
Sri Lanka,2012-01-01,0.0127466
Tanzania,2012-01-01,53.5254834
Thailand,2012-01-01,43.4243702
Timor-Leste,2012-01-01,6.1187805
Togo,2012-01-01,15.5409167
Trinidad & Tobago,2012-01-01,0.120265
Uganda,2012-01-01,226.462
Venezuela,2012-01-01,0.0022031
Vietnam,2012-01-01,1960.207931
Yemen,2012-01-01,4.8787244
Zambia,2012-01-01,0.3771092
Zimbabwe,2012-01-01,0.1429351
Angola,2012-02-01,0.3
Benin,2012-02-01,0
Bolivia,2012-02-01,5.5534167
Brazil,2012-02-01,2243.106917
Burundi,2012-02-01,18.4653499
Cameroon,2012-02-01,27.1
Central African Republic,2012-02-01,13.065
Colombia,2012-02-01,559.771884
"Congo, DR",2012-02-01,17.21
Congo,2012-02-01,0
Costa Rica,2012-02-01,159.3559006
Cote d'Ivoire,2012-02-01,94.42805
Cuba,2012-02-01,1.8
Dominican Republic,2012-02-01,9.655128
Ecuador,2012-02-01,120.3701465
El Salvador,2012-02-01,161.5115836
Equatorial Guinea,2012-02-01,0
Ethiopia,2012-02-01,101.1659167
Gabon,2012-02-01,0
Ghana,2012-02-01,7.21075
Guatemala,2012-02-01,369.2548466
Guinea,2012-02-01,34.7300247
Guyana,2012-02-01,0.1481433
Haiti,2012-02-01,0.9226208
Honduras,2012-02-01,710.1974117
India,2012-02-01,491.8993886
Indonesia,2012-02-01,480.3308823
Jamaica,2012-02-01,0.6019689
Kenya,2012-02-01,65.5659333
Laos,2012-02-01,29.7950865
Liberia,2012-02-01,0
Madagascar,2012-02-01,7.0744081
Malawi,2012-02-01,1.3750437
Mexico,2012-02-01,277.3199002
Nepal,2012-02-01,0.0682766
Nicaragua,2012-02-01,131.3441186
Nigeria,2012-02-01,0.0053948
Panama,2012-02-01,3.2045437
Papua New Guinea,2012-02-01,102.5995833
Paraguay,2012-02-01,0.0013
Peru,2012-02-01,174.593514
Philippines,2012-02-01,0.3353838
Rwanda,2012-02-01,16.827145
Sierra Leone,2012-02-01,3.4355884
Sri Lanka,2012-02-01,0.0127466
Tanzania,2012-02-01,67.5700667
Thailand,2012-02-01,58.4405234
Timor-Leste,2012-02-01,2.8234305
Togo,2012-02-01,28.3264167
Trinidad & Tobago,2012-02-01,0.120265
Uganda,2012-02-01,244.319
Venezuela,2012-02-01,0.0094919
Vietnam,2012-02-01,3183.32145
Yemen,2012-02-01,5.1116243
Zambia,2012-02-01,0.8610592
Zimbabwe,2012-02-01,0.7179351
Angola,2012-03-01,0.3
Benin,2012-03-01,0
Bolivia,2012-03-01,4.6101167
Brazil,2012-03-01,2268.650083
Burundi,2012-03-01,15.9812835
Cameroon,2012-03-01,14.05
Central African Republic,2012-03-01,18.486
Colombia,2012-03-01,604.4639439
"Congo, DR",2012-03-01,13.42
Congo,2012-03-01,0
Costa Rica,2012-03-01,198.3424348
Cote d'Ivoire,2012-03-01,224.7363334
Cuba,2012-03-01,3.6
Dominican Republic,2012-03-01,8.8124083
Ecuador,2012-03-01,112.7988375
El Salvador,2012-03-01,150.9782812
Equatorial Guinea,2012-03-01,0
Ethiopia,2012-03-01,168.6923333
Gabon,2012-03-01,0
Ghana,2012-03-01,14.73445
Guatemala,2012-03-01,460.2669232
Guinea,2012-03-01,39.0234581
Guyana,2012-03-01,0.1481433
Haiti,2012-03-01,1.6301928
Honduras,2012-03-01,708.0512932
India,2012-03-01,788.5232392
Indonesia,2012-03-01,426.5338804
Jamaica,2012-03-01,1.4803491
Kenya,2012-03-01,53.598683
Laos,2012-03-01,29.5009533
Liberia,2012-03-01,0
Madagascar,2012-03-01,11.3829565
Malawi,2012-03-01,4.1266936
Mexico,2012-03-01,327.8212484
Nepal,2012-03-01,0.0603267
Nicaragua,2012-03-01,197.2856084
Nigeria,2012-03-01,0.0051782
Panama,2012-03-01,5.3024208
Papua New Guinea,2012-03-01,85.88675
Paraguay,2012-03-01,0.0015619
Peru,2012-03-01,177.708642
Philippines,2012-03-01,0.2974325
Rwanda,2012-03-01,11.2378163
Sierra Leone,2012-03-01,4.6264716
Sri Lanka,2012-03-01,0.0127466
Tanzania,2012-03-01,66.2766834
Thailand,2012-03-01,25.5799835
Timor-Leste,2012-03-01,3.6290472
Togo,2012-03-01,25.0347167
Trinidad & Tobago,2012-03-01,0.1224468
Uganda,2012-03-01,187.592
Venezuela,2012-03-01,0.212363
Vietnam,2012-03-01,2467.01308
Yemen,2012-03-01,4.820391
Zambia,2012-03-01,2.2444592
Zimbabwe,2012-03-01,0.1689351
Angola,2012-04-01,0.875
Benin,2012-04-01,0
Bolivia,2012-04-01,2.3706667
Brazil,2012-04-01,2032.689191
Burundi,2012-04-01,11
Cameroon,2012-04-01,90.533
Central African Republic,2012-04-01,14.282
Colombia,2012-04-01,493.7601302
"Congo, DR",2012-04-01,18.56
Congo,2012-04-01,0
Costa Rica,2012-04-01,143.272679
Cote d'Ivoire,2012-04-01,218.3358
Cuba,2012-04-01,2.7
Dominican Republic,2012-04-01,10.6402535
Ecuador,2012-04-01,121.8819417
El Salvador,2012-04-01,118.9146461
Equatorial Guinea,2012-04-01,0
Ethiopia,2012-04-01,276.88379
Gabon,2012-04-01,0
Ghana,2012-04-01,23.9638
Guatemala,2012-04-01,379.7005658
Guinea,2012-04-01,32.0832415
Guyana,2012-04-01,0.1481433
Haiti,2012-04-01,0.6308375
Honduras,2012-04-01,691.0598017
India,2012-04-01,536.5510149
Indonesia,2012-04-01,561.4475975
Jamaica,2012-04-01,1.8144014
Kenya,2012-04-01,73.159825
Laos,2012-04-01,44.6466032
Liberia,2012-04-01,0
Madagascar,2012-04-01,5.9274308
Malawi,2012-04-01,1.2404769
Mexico,2012-04-01,372.6087504
Nepal,2012-04-01,0.07416
Nicaragua,2012-04-01,218.6928364
Nigeria,2012-04-01,0.3862449
Panama,2012-04-01,6.8833721
Papua New Guinea,2012-04-01,62.8584027
Paraguay,2012-04-01,0.0021252
Peru,2012-04-01,75.037866
Philippines,2012-04-01,0.3303765
Rwanda,2012-04-01,9.619185
Sierra Leone,2012-04-01,2.5065884
Sri Lanka,2012-04-01,0.0127466
Tanzania,2012-04-01,72.9926001
Thailand,2012-04-01,20.7999995
Timor-Leste,2012-04-01,0.7100972
Togo,2012-04-01,21.09325
Trinidad & Tobago,2012-04-01,0.120265
Uganda,2012-04-01,141.22
Venezuela,2012-04-01,0.0022031
Vietnam,2012-04-01,1836.664127
Yemen,2012-04-01,5.3439899
Zambia,2012-04-01,0.8654425
Zimbabwe,2012-04-01,0.2429018
Angola,2012-05-01,2.31
Benin,2012-05-01,0
Bolivia,2012-05-01,0.6533333
Brazil,2012-05-01,2131.869765
Burundi,2012-05-01,9
Cameroon,2012-05-01,74.74
Central African Republic,2012-05-01,23.402
Colombia,2012-05-01,589.8133514
"Congo, DR",2012-05-01,23.68
Congo,2012-05-01,0
Costa Rica,2012-05-01,181.3594418
Cote d'Ivoire,2012-05-01,323.1598167
Cuba,2012-05-01,1.2
Dominican Republic,2012-05-01,17.1374011
Ecuador,2012-05-01,106.6202547
El Salvador,2012-05-01,120.4776088
Equatorial Guinea,2012-05-01,0
Ethiopia,2012-05-01,380.0763333
Gabon,2012-05-01,0
Ghana,2012-05-01,12.6841333
Guatemala,2012-05-01,417.836638
Guinea,2012-05-01,40.3251417
Guyana,2012-05-01,0.1481433
Haiti,2012-05-01,1.7142208
Honduras,2012-05-01,634.7434471
India,2012-05-01,566.9975225
Indonesia,2012-05-01,666.0693209
Jamaica,2012-05-01,3.1265991
Kenya,2012-05-01,86.9723163
Laos,2012-05-01,35.2751655
Liberia,2012-05-01,0.3539667
Madagascar,2012-05-01,3.33331
Malawi,2012-05-01,1.6202204
Mexico,2012-05-01,377.5857909
Nepal,2012-05-01,0.1208766
Nicaragua,2012-05-01,200.7871228
Nigeria,2012-05-01,0.0051782
Panama,2012-05-01,8.4510852
Papua New Guinea,2012-05-01,65.2728995
Paraguay,2012-05-01,0
Peru,2012-05-01,162.184583
Philippines,2012-05-01,0.291775
Rwanda,2012-05-01,13.0786844
Sierra Leone,2012-05-01,6.9341551
Sri Lanka,2012-05-01,0.0127466
Tanzania,2012-05-01,47.19115
Thailand,2012-05-01,26.8876168
Timor-Leste,2012-05-01,0.7960972
Togo,2012-05-01,14.2585333
Trinidad & Tobago,2012-05-01,0.120265
Uganda,2012-05-01,252.443
Venezuela,2012-05-01,1.4388698
Vietnam,2012-05-01,2293.6459
Yemen,2012-05-01,4.9065577
Zambia,2012-05-01,0.3729925
Zimbabwe,2012-05-01,0.4629352
Angola,2012-06-01,0
Benin,2012-06-01,0
Bolivia,2012-06-01,1.7973333
Brazil,2012-06-01,1928.924325
Burundi,2012-06-01,14.72
Cameroon,2012-06-01,86.933
Central African Republic,2012-06-01,6.957
Colombia,2012-06-01,613.1821526
"Congo, DR",2012-06-01,17.287
Congo,2012-06-01,0
Costa Rica,2012-06-01,130.8327407
Cote d'Ivoire,2012-06-01,185.3250333
Cuba,2012-06-01,0.3
Dominican Republic,2012-06-01,15.883125100000001
Ecuador,2012-06-01,144.7879633
El Salvador,2012-06-01,67.8047149
Equatorial Guinea,2012-06-01,0
Ethiopia,2012-06-01,417.57608
Gabon,2012-06-01,0
Ghana,2012-06-01,4.8720333
Guatemala,2012-06-01,399.7013404
Guinea,2012-06-01,34.4889084
Guyana,2012-06-01,0.1481433
Haiti,2012-06-01,0.8164375
Honduras,2012-06-01,555.8378567
India,2012-06-01,585.1226172
Indonesia,2012-06-01,941.0769753
Jamaica,2012-06-01,1.6744641
Kenya,2012-06-01,79.66865
Laos,2012-06-01,31.2766197
Liberia,2012-06-01,0
Madagascar,2012-06-01,6.6898542
Malawi,2012-06-01,0.6536936
Mexico,2012-06-01,322.4668748
Nepal,2012-06-01,0.10416
Nicaragua,2012-06-01,220.7093171
Nigeria,2012-06-01,0.0051826
Panama,2012-06-01,8.3860391
Papua New Guinea,2012-06-01,73.7228527
Paraguay,2012-06-01,0.0015619
Peru,2012-06-01,262.253125
Philippines,2012-06-01,0.237379
Rwanda,2012-06-01,11.5085455
Sierra Leone,2012-06-01,9.9665717
Sri Lanka,2012-06-01,0.0127466
Tanzania,2012-06-01,27.6007833
Thailand,2012-06-01,28.5898829
Timor-Leste,2012-06-01,0.7100972
Togo,2012-06-01,9.6542667
Trinidad & Tobago,2012-06-01,0.120265
Uganda,2012-06-01,275.051
Venezuela,2012-06-01,0.0024609
Vietnam,2012-06-01,1957.642127
Yemen,2012-06-01,5.9041411
Zambia,2012-06-01,0.6178425
Zimbabwe,2012-06-01,0.5348185
Angola,2012-07-01,1.44
Benin,2012-07-01,0
Bolivia,2012-07-01,6.3118333
Brazil,2012-07-01,2145.200829
Burundi,2012-07-01,34.957
Cameroon,2012-07-01,62.15
Central African Republic,2012-07-01,1.2
Colombia,2012-07-01,552.2207644
"Congo, DR",2012-07-01,15.685
Congo,2012-07-01,0
Costa Rica,2012-07-01,138.8771033
Cote d'Ivoire,2012-07-01,164.8367333
Cuba,2012-07-01,2.072
Dominican Republic,2012-07-01,13.0511378
Ecuador,2012-07-01,143.1937425
El Salvador,2012-07-01,75.5991302
Equatorial Guinea,2012-07-01,0
Ethiopia,2012-07-01,270.94995
Gabon,2012-07-01,0
Ghana,2012-07-01,10.5234833
Guatemala,2012-07-01,389.0668923
Guinea,2012-07-01,28.0985915
Guyana,2012-07-01,0.1481433
Haiti,2012-07-01,0.5810875
Honduras,2012-07-01,617.9201697
India,2012-07-01,401.7935527
Indonesia,2012-07-01,1218.021723
Jamaica,2012-07-01,1.7669609
Kenya,2012-07-01,90.9557175
Laos,2012-07-01,28.6295833
Liberia,2012-07-01,0.6366667
Madagascar,2012-07-01,3.6395274
Malawi,2012-07-01,1.9778603
Mexico,2012-07-01,328.6324745
Nepal,2012-07-01,0.1442767
Nicaragua,2012-07-01,150.6523966
Nigeria,2012-07-01,0.9539282
Panama,2012-07-01,4.2614337
Papua New Guinea,2012-07-01,60.23
Paraguay,2012-07-01,0
Peru,2012-07-01,458.935623
Philippines,2012-07-01,0.3049421
Rwanda,2012-07-01,14.8695022
Sierra Leone,2012-07-01,6.5411884
Sri Lanka,2012-07-01,0.0127466
Tanzania,2012-07-01,20.5721666
Thailand,2012-07-01,20.7000002
Timor-Leste,2012-07-01,1.7700972
Togo,2012-07-01,20.9225133
Trinidad & Tobago,2012-07-01,0.120265
Uganda,2012-07-01,306.331
Venezuela,2012-07-01,0.2789093
Vietnam,2012-07-01,1621.0544
Yemen,2012-07-01,5.059491
Zambia,2012-07-01,0.0404425
Zimbabwe,2012-07-01,0.3572352
Angola,2012-08-01,0
Benin,2012-08-01,0
Bolivia,2012-08-01,5.8220833
Brazil,2012-08-01,2628.358123
Burundi,2012-08-01,52.435
Cameroon,2012-08-01,66.8
Central African Republic,2012-08-01,0.3
Colombia,2012-08-01,583.0803577
"Congo, DR",2012-08-01,7.983
Congo,2012-08-01,0
Costa Rica,2012-08-01,80.0335108
Cote d'Ivoire,2012-08-01,137.8844
Cuba,2012-08-01,1.22
Dominican Republic,2012-08-01,5.4747227
Ecuador,2012-08-01,174.3502516
El Salvador,2012-08-01,49.2670302
Equatorial Guinea,2012-08-01,0
Ethiopia,2012-08-01,408.655
Gabon,2012-08-01,0
Ghana,2012-08-01,4.4747
Guatemala,2012-08-01,355.5445588
Guinea,2012-08-01,23.4606582
Guyana,2012-08-01,0.1481433
Haiti,2012-08-01,0.8727208
Honduras,2012-08-01,393.010384
India,2012-08-01,353.4600634
Indonesia,2012-08-01,811.8693775
Jamaica,2012-08-01,1.5057515
Kenya,2012-08-01,75.7138667
Laos,2012-08-01,34.5666366
Liberia,2012-08-01,0
Madagascar,2012-08-01,4.1192845
Malawi,2012-08-01,0.8452603
Mexico,2012-08-01,345.9824769
Nepal,2012-08-01,0.13526
Nicaragua,2012-08-01,151.1953031
Nigeria,2012-08-01,0.0051782
Panama,2012-08-01,4.5764417
Papua New Guinea,2012-08-01,89.6241269
Paraguay,2012-08-01,0
Peru,2012-08-01,672.158952
Philippines,2012-08-01,0.3558267
Rwanda,2012-08-01,17.6763376
Sierra Leone,2012-08-01,10.9934051
Sri Lanka,2012-08-01,0.0127466
Tanzania,2012-08-01,21.547
Thailand,2012-08-01,27.8089999
Timor-Leste,2012-08-01,3.6034305
Togo,2012-08-01,5.0249833
Trinidad & Tobago,2012-08-01,0.120265
Uganda,2012-08-01,232.467
Venezuela,2012-08-01,0.0022031
Vietnam,2012-08-01,1395.920896
Yemen,2012-08-01,5.670441
Zambia,2012-08-01,0.1313592
Zimbabwe,2012-08-01,0.1615684
Angola,2012-09-01,0
Benin,2012-09-01,0
Bolivia,2012-09-01,6.2683333
Brazil,2012-09-01,2279.930899
Burundi,2012-09-01,64.166
Cameroon,2012-09-01,23.5
Central African Republic,2012-09-01,0
Colombia,2012-09-01,527.2129976
"Congo, DR",2012-09-01,8.558
Congo,2012-09-01,0
Costa Rica,2012-09-01,45.6400451
Cote d'Ivoire,2012-09-01,100.3311667
Cuba,2012-09-01,0.58
Dominican Republic,2012-09-01,7.4901672
Ecuador,2012-09-01,149.6362527
El Salvador,2012-09-01,44.3085508
Equatorial Guinea,2012-09-01,0
Ethiopia,2012-09-01,281.5585
Gabon,2012-09-01,0
Ghana,2012-09-01,7.1843333
Guatemala,2012-09-01,324.0160875
Guinea,2012-09-01,25.6802248
Guyana,2012-09-01,0.1481433
Haiti,2012-09-01,1.1985874
Honduras,2012-09-01,203.0228715
India,2012-09-01,276.7083859
Indonesia,2012-09-01,1403.381896
Jamaica,2012-09-01,1.5504583
Kenya,2012-09-01,69.5681587
Laos,2012-09-01,33.5393363
Liberia,2012-09-01,0
Madagascar,2012-09-01,3.3755078
Malawi,2012-09-01,0.883827
Mexico,2012-09-01,289.7342499
Nepal,2012-09-01,0.3153809
Nicaragua,2012-09-01,169.9807572
Nigeria,2012-09-01,0.0051782
Panama,2012-09-01,1.5290208
Papua New Guinea,2012-09-01,83.6944203
Paraguay,2012-09-01,0
Peru,2012-09-01,568.69055
Philippines,2012-09-01,0.4069
Rwanda,2012-09-01,26.3873789
Sierra Leone,2012-09-01,6.0142051
Sri Lanka,2012-09-01,0.0127466
Tanzania,2012-09-01,59.5680666
Thailand,2012-09-01,28.1089994
Timor-Leste,2012-09-01,4.8500972
Togo,2012-09-01,4.2413333
Trinidad & Tobago,2012-09-01,0.120265
Uganda,2012-09-01,176.301
Venezuela,2012-09-01,0.0022031
Vietnam,2012-09-01,947.7464168
Yemen,2012-09-01,4.862891
Zambia,2012-09-01,0.0437758
Zimbabwe,2012-09-01,0.1419351
Angola,2012-10-01,0
Benin,2012-10-01,0
Bolivia,2012-10-01,5.8105
Brazil,2012-10-01,2935.462889
Burundi,2012-10-01,65.3162833
Cameroon,2012-10-01,34.696
Central African Republic,2012-10-01,0
Colombia,2012-10-01,582.2898619
"Congo, DR",2012-10-01,2.88
Congo,2012-10-01,0
Costa Rica,2012-10-01,28.3403411
Cote d'Ivoire,2012-10-01,83.4967667
Cuba,2012-10-01,0
Dominican Republic,2012-10-01,4.7597121
Ecuador,2012-10-01,122.6494567
El Salvador,2012-10-01,28.172438
Equatorial Guinea,2012-10-01,0
Ethiopia,2012-10-01,245.6959633
Gabon,2012-10-01,0
Ghana,2012-10-01,2.5166667
Guatemala,2012-10-01,129.6911752
Guinea,2012-10-01,26.0112248
Guyana,2012-10-01,0.1481433
Haiti,2012-10-01,1.5975874
Honduras,2012-10-01,47.59505
India,2012-10-01,254.4462513
Indonesia,2012-10-01,1494.545423
Jamaica,2012-10-01,0.2120456
Kenya,2012-10-01,75.0277347
Laos,2012-10-01,36.33532
Liberia,2012-10-01,1.8203333
Madagascar,2012-10-01,7.998518
Malawi,2012-10-01,0.7266769
Mexico,2012-10-01,234.1582417
Nepal,2012-10-01,0.2124433
Nicaragua,2012-10-01,188.2364174
Nigeria,2012-10-01,0.0051782
Panama,2012-10-01,1.932089
Papua New Guinea,2012-10-01,66.4337606
Paraguay,2012-10-01,0
Peru,2012-10-01,662.965093
Philippines,2012-10-01,0.0598
Rwanda,2012-10-01,47.7238623
Sierra Leone,2012-10-01,3.3727551
Sri Lanka,2012-10-01,0.0127466
Tanzania,2012-10-01,88.7185834
Thailand,2012-10-01,27.2774768
Timor-Leste,2012-10-01,10.8361972
Togo,2012-10-01,2.08985
Trinidad & Tobago,2012-10-01,0.1231408
Uganda,2012-10-01,178.024
Venezuela,2012-10-01,0.3248531
Vietnam,2012-10-01,1658.934474
Yemen,2012-10-01,5.7670077
Zambia,2012-10-01,0.1136925
Zimbabwe,2012-10-01,0.1429351
Angola,2012-11-01,1.155
Benin,2012-11-01,0
Bolivia,2012-11-01,7.6565833
Brazil,2012-11-01,2855.056719
Burundi,2012-11-01,49.9885667
Cameroon,2012-11-01,19.971
Central African Republic,2012-11-01,0
Colombia,2012-11-01,736.0141116
"Congo, DR",2012-11-01,5.44
Congo,2012-11-01,0
Costa Rica,2012-11-01,42.0455322
Cote d'Ivoire,2012-11-01,125.2206
Cuba,2012-11-01,0
Dominican Republic,2012-11-01,16.6454294
Ecuador,2012-11-01,132.3873673
El Salvador,2012-11-01,20.9636996
Equatorial Guinea,2012-11-01,0
Ethiopia,2012-11-01,294.4258833
Gabon,2012-11-01,0
Ghana,2012-11-01,2.52025
Guatemala,2012-11-01,140.5601547
Guinea,2012-11-01,29.7690199
Guyana,2012-11-01,0.1481433
Haiti,2012-11-01,0.3659939
Honduras,2012-11-01,98.72175
India,2012-11-01,244.425372
Indonesia,2012-11-01,1071.503274
Jamaica,2012-11-01,0.5600878
Kenya,2012-11-01,50.6885467
Laos,2012-11-01,19.6595698
Liberia,2012-11-01,0
Madagascar,2012-11-01,6.2517789
Malawi,2012-11-01,0.9418759
Mexico,2012-11-01,242.9450974
Nepal,2012-11-01,0.0582933
Nicaragua,2012-11-01,182.19150870000001
Nigeria,2012-11-01,0.0051782
Panama,2012-11-01,2.566498
Papua New Guinea,2012-11-01,69.0750099
Paraguay,2012-11-01,0
Peru,2012-11-01,518.078229
Philippines,2012-11-01,0.3178895
Rwanda,2012-11-01,35.1060415
Sierra Leone,2012-11-01,2.259855
